INFO: Running with entropic power schedule (0xFF, 100).
INFO: Seed: 3793181345
INFO: Loaded 1 modules   (4141 inline 8-bit counters): 4141 [0x618a23425220, 0x618a2342624d), 
INFO: Loaded 1 PC tables (4141 PCs): 4141 [0x618a23426250,0x618a23436520), 
INFO: 5530 Extra Counters
#55229	REDUCE cov: 285 ft: 2373 corp: 536/324Kb lim: 4096 exec/s: 27614 rss: 31Mb L: 32/4060 MS: 2 ChangeBinInt-EraseBytes-
#55910	REDUCE cov: 285 ft: 2373 corp: 536/324Kb lim: 4096 exec/s: 27955 rss: 31Mb L: 544/4060 MS: 1 EraseBytes-
#56456	REDUCE cov: 285 ft: 2373 corp: 536/324Kb lim: 4096 exec/s: 28228 rss: 31Mb L: 13/4060 MS: 1 EraseBytes-
#56668	REDUCE cov: 285 ft: 2373 corp: 536/324Kb lim: 4096 exec/s: 28334 rss: 31Mb L: 53/4060 MS: 2 ShuffleBytes-EraseBytes-
#57489	REDUCE cov: 285 ft: 2373 corp: 536/324Kb lim: 4096 exec/s: 28744 rss: 31Mb L: 31/4060 MS: 1 EraseBytes-
#57820	REDUCE cov: 285 ft: 2373 corp: 536/324Kb lim: 4096 exec/s: 28910 rss: 31Mb L: 3/4060 MS: 1 EraseBytes-
#58879	REDUCE cov: 285 ft: 2373 corp: 536/324Kb lim: 4096 exec/s: 29439 rss: 31Mb L: 427/4060 MS: 4 CopyPart-CrossOver-ChangeBinInt-EraseBytes-
#59563	REDUCE cov: 285 ft: 2373 corp: 536/324Kb lim: 4096 exec/s: 29781 rss: 31Mb L: 9/4060 MS: 1 EraseBytes-
#60154	REDUCE cov: 285 ft: 2373 corp: 536/324Kb lim: 4096 exec/s: 30077 rss: 31Mb L: 72/4060 MS: 1 EraseBytes-
#60585	REDUCE cov: 285 ft: 2373 corp: 536/324Kb lim: 4096 exec/s: 30292 rss: 31Mb L: 266/4060 MS: 1 EraseBytes-
#61171	REDUCE cov: 285 ft: 2373 corp: 536/324Kb lim: 4096 exec/s: 30585 rss: 31Mb L: 13/4060 MS: 1 EraseBytes-
#62224	REDUCE cov: 285 ft: 2373 corp: 536/324Kb lim: 4096 exec/s: 31112 rss: 31Mb L: 133/4060 MS: 3 ChangeBinInt-ChangeBit-EraseBytes-
#62507	REDUCE cov: 285 ft: 2373 corp: 536/324Kb lim: 4096 exec/s: 31253 rss: 31Mb L: 51/4060 MS: 3 CopyPart-EraseBytes-CopyPart-
#62613	REDUCE cov: 285 ft: 2373 corp: 536/324Kb lim: 4096 exec/s: 31306 rss: 31Mb L: 169/4060 MS: 1 EraseBytes-
#63019	REDUCE cov: 285 ft: 2373 corp: 536/324Kb lim: 4096 exec/s: 31509 rss: 31Mb L: 785/4060 MS: 1 EraseBytes-
#63180	REDUCE cov: 285 ft: 2373 corp: 536/324Kb lim: 4096 exec/s: 31590 rss: 31Mb L: 2/4060 MS: 1 EraseBytes-
#64821	REDUCE cov: 285 ft: 2373 corp: 536/324Kb lim: 4096 exec/s: 32410 rss: 31Mb L: 7/4060 MS: 1 EraseBytes-
#64968	REDUCE cov: 285 ft: 2373 corp: 536/324Kb lim: 4096 exec/s: 32484 rss: 31Mb L: 175/4060 MS: 2 CMP-EraseBytes- DE: "\000\000\000\000\000\000\000\000"-
#65536	pulse  cov: 285 ft: 2373 corp: 536/324Kb lim: 4096 exec/s: 32768 rss: 31Mb
#67579	REDUCE cov: 285 ft: 2373 corp: 536/324Kb lim: 4096 exec/s: 33789 rss: 31Mb L: 166/4060 MS: 1 EraseBytes-
#67652	REDUCE cov: 285 ft: 2373 corp: 536/324Kb lim: 4096 exec/s: 33826 rss: 31Mb L: 832/4060 MS: 3 CopyPart-ChangeBinInt-EraseBytes-
#68319	REDUCE cov: 285 ft: 2373 corp: 536/324Kb lim: 4096 exec/s: 34159 rss: 31Mb L: 59/4060 MS: 2 CopyPart-EraseBytes-
#68430	REDUCE cov: 285 ft: 2373 corp: 536/324Kb lim: 4096 exec/s: 34215 rss: 31Mb L: 87/4060 MS: 1 EraseBytes-
#71198	REDUCE cov: 285 ft: 2373 corp: 536/324Kb lim: 4096 exec/s: 35599 rss: 31Mb L: 707/4060 MS: 3 PersAutoDict-ChangeByte-EraseBytes- DE: "\000\000\000\000\000\000\000\000"-
#71860	REDUCE cov: 285 ft: 2373 corp: 536/324Kb lim: 4096 exec/s: 35930 rss: 31Mb L: 237/4060 MS: 2 CrossOver-EraseBytes-
#75601	REDUCE cov: 285 ft: 2373 corp: 536/324Kb lim: 4096 exec/s: 37800 rss: 31Mb L: 6/4060 MS: 1 EraseBytes-
#77466	REDUCE cov: 285 ft: 2373 corp: 536/324Kb lim: 4096 exec/s: 38733 rss: 31Mb L: 481/4060 MS: 5 EraseBytes-ChangeASCIIInt-ChangeBinInt-ChangeBit-PersAutoDict- DE: "\000\000\000\000\000\000\000\000"-
#78652	REDUCE cov: 285 ft: 2373 corp: 536/324Kb lim: 4096 exec/s: 39326 rss: 31Mb L: 2356/4060 MS: 1 EraseBytes-
#78830	REDUCE cov: 285 ft: 2373 corp: 536/324Kb lim: 4096 exec/s: 39415 rss: 31Mb L: 221/4060 MS: 3 CopyPart-ChangeBinInt-EraseBytes-
#80849	REDUCE cov: 285 ft: 2373 corp: 536/324Kb lim: 4096 exec/s: 40424 rss: 31Mb L: 94/4060 MS: 4 ChangeASCIIInt-ShuffleBytes-EraseBytes-CopyPart-
#82689	REDUCE cov: 285 ft: 2373 corp: 536/324Kb lim: 4096 exec/s: 27563 rss: 31Mb L: 747/4060 MS: 5 ChangeASCIIInt-PersAutoDict-CMP-InsertByte-EraseBytes- DE: "\000\000\000\000\000\000\000\000"-"\000\000\000\000\000\000\000\031"-
#85942	REDUCE cov: 285 ft: 2373 corp: 536/324Kb lim: 4096 exec/s: 28647 rss: 31Mb L: 84/4060 MS: 3 ShuffleBytes-PersAutoDict-EraseBytes- DE: "\000\000\000\000\000\000\000\031"-
#88122	REDUCE cov: 285 ft: 2373 corp: 536/324Kb lim: 4096 exec/s: 29374 rss: 31Mb L: 379/4060 MS: 1 EraseBytes-
#91810	REDUCE cov: 285 ft: 2373 corp: 536/324Kb lim: 4096 exec/s: 30603 rss: 31Mb L: 187/4060 MS: 3 ChangeByte-CopyPart-EraseBytes-
#92183	REDUCE cov: 285 ft: 2373 corp: 536/324Kb lim: 4096 exec/s: 30727 rss: 31Mb L: 6/4060 MS: 3 ChangeASCIIInt-ChangeASCIIInt-EraseBytes-
#93489	REDUCE cov: 285 ft: 2373 corp: 536/324Kb lim: 4096 exec/s: 31163 rss: 31Mb L: 58/4060 MS: 1 EraseBytes-
#94928	REDUCE cov: 285 ft: 2373 corp: 536/324Kb lim: 4096 exec/s: 31642 rss: 31Mb L: 151/4060 MS: 4 ChangeByte-ChangeBinInt-ChangeBit-EraseBytes-
#95250	REDUCE cov: 285 ft: 2373 corp: 536/324Kb lim: 4096 exec/s: 31750 rss: 31Mb L: 114/4060 MS: 2 ShuffleBytes-EraseBytes-
#95906	REDUCE cov: 285 ft: 2373 corp: 536/324Kb lim: 4096 exec/s: 31968 rss: 31Mb L: 309/4060 MS: 1 EraseBytes-
#96027	REDUCE cov: 285 ft: 2373 corp: 536/324Kb lim: 4096 exec/s: 32009 rss: 31Mb L: 16/4060 MS: 1 EraseBytes-
#96641	REDUCE cov: 285 ft: 2373 corp: 536/324Kb lim: 4096 exec/s: 32213 rss: 31Mb L: 1548/4060 MS: 4 ChangeBit-ShuffleBytes-PersAutoDict-EraseBytes- DE: "\000\000\000\000\000\000\000\031"-
#96757	REDUCE cov: 285 ft: 2373 corp: 536/324Kb lim: 4096 exec/s: 32252 rss: 31Mb L: 3689/4060 MS: 1 EraseBytes-
