INFO: Running with entropic power schedule (0xFF, 100).
INFO: Seed: 3793090311
INFO: Loaded 1 modules   (4141 inline 8-bit counters): 4141 [0x5b8542741218, 0x5b8542742245), 
INFO: Loaded 1 PC tables (4141 PCs): 4141 [0x5b8542742248,0x5b8542752518), 
INFO: 5530 Extra Counters
#59732	REDUCE cov: 390 ft: 3292 corp: 678/455Kb lim: 4096 exec/s: 29866 rss: 31Mb L: 88/4059 MS: 4 CopyPart-InsertByte-ChangeByte-EraseBytes-
#62013	REDUCE cov: 390 ft: 3292 corp: 678/455Kb lim: 4096 exec/s: 31006 rss: 31Mb L: 342/4059 MS: 1 EraseBytes-
#65321	REDUCE cov: 390 ft: 3292 corp: 678/455Kb lim: 4096 exec/s: 32660 rss: 31Mb L: 658/4059 MS: 1 EraseBytes-
#65536	pulse  cov: 390 ft: 3292 corp: 678/455Kb lim: 4096 exec/s: 32768 rss: 31Mb
#66574	REDUCE cov: 390 ft: 3292 corp: 678/455Kb lim: 4096 exec/s: 33287 rss: 31Mb L: 11/4059 MS: 3 ChangeByte-ChangeByte-EraseBytes-
#67565	REDUCE cov: 390 ft: 3292 corp: 678/455Kb lim: 4096 exec/s: 33782 rss: 31Mb L: 1073/4059 MS: 1 EraseBytes-
#68096	REDUCE cov: 390 ft: 3292 corp: 678/455Kb lim: 4096 exec/s: 34048 rss: 31Mb L: 24/4059 MS: 1 EraseBytes-
#68702	REDUCE cov: 390 ft: 3292 corp: 678/455Kb lim: 4096 exec/s: 34351 rss: 31Mb L: 258/4059 MS: 1 EraseBytes-
#68924	REDUCE cov: 390 ft: 3292 corp: 678/455Kb lim: 4096 exec/s: 34462 rss: 31Mb L: 3/4059 MS: 2 CopyPart-EraseBytes-
#69865	REDUCE cov: 390 ft: 3292 corp: 678/455Kb lim: 4096 exec/s: 34932 rss: 31Mb L: 421/4059 MS: 1 EraseBytes-
#71307	REDUCE cov: 390 ft: 3292 corp: 678/455Kb lim: 4096 exec/s: 35653 rss: 31Mb L: 41/4059 MS: 2 ShuffleBytes-EraseBytes-
#72679	REDUCE cov: 390 ft: 3292 corp: 678/455Kb lim: 4096 exec/s: 36339 rss: 31Mb L: 10/4059 MS: 2 CrossOver-EraseBytes-
#74630	REDUCE cov: 390 ft: 3292 corp: 678/455Kb lim: 4096 exec/s: 37315 rss: 31Mb L: 157/4059 MS: 1 EraseBytes-
#74696	REDUCE cov: 390 ft: 3292 corp: 678/455Kb lim: 4096 exec/s: 37348 rss: 31Mb L: 30/4059 MS: 1 EraseBytes-
#76292	REDUCE cov: 390 ft: 3292 corp: 678/455Kb lim: 4096 exec/s: 38146 rss: 31Mb L: 515/4059 MS: 1 EraseBytes-
#77850	REDUCE cov: 390 ft: 3292 corp: 678/455Kb lim: 4096 exec/s: 38925 rss: 31Mb L: 65/4059 MS: 3 ChangeBit-InsertByte-EraseBytes-
#79681	REDUCE cov: 390 ft: 3292 corp: 678/455Kb lim: 4096 exec/s: 39840 rss: 31Mb L: 187/4059 MS: 1 EraseBytes-
#79867	REDUCE cov: 390 ft: 3292 corp: 678/455Kb lim: 4096 exec/s: 39933 rss: 31Mb L: 488/4059 MS: 1 EraseBytes-
#86807	REDUCE cov: 390 ft: 3292 corp: 678/455Kb lim: 4096 exec/s: 43403 rss: 31Mb L: 2149/4059 MS: 5 CopyPart-ChangeASCIIInt-ChangeBit-ChangeBinInt-EraseBytes-
#86823	REDUCE cov: 390 ft: 3292 corp: 678/455Kb lim: 4096 exec/s: 43411 rss: 31Mb L: 25/4059 MS: 1 EraseBytes-
#87102	REDUCE cov: 390 ft: 3292 corp: 678/455Kb lim: 4096 exec/s: 43551 rss: 31Mb L: 6/4059 MS: 4 ChangeByte-ChangeASCIIInt-EraseBytes-InsertByte-
#87884	REDUCE cov: 390 ft: 3292 corp: 678/454Kb lim: 4096 exec/s: 43942 rss: 31Mb L: 283/4059 MS: 2 ChangeBinInt-EraseBytes-
#89711	REDUCE cov: 390 ft: 3292 corp: 678/454Kb lim: 4096 exec/s: 29903 rss: 31Mb L: 146/4059 MS: 2 ChangeByte-EraseBytes-
#96780	REDUCE cov: 390 ft: 3292 corp: 678/454Kb lim: 4096 exec/s: 32260 rss: 31Mb L: 702/4059 MS: 1 EraseBytes-
#97831	REDUCE cov: 390 ft: 3292 corp: 678/454Kb lim: 4096 exec/s: 32610 rss: 31Mb L: 78/4059 MS: 1 EraseBytes-
#98369	REDUCE cov: 390 ft: 3292 corp: 678/454Kb lim: 4096 exec/s: 32789 rss: 31Mb L: 72/4059 MS: 3 CopyPart-ChangeASCIIInt-EraseBytes-
#100720	REDUCE cov: 390 ft: 3292 corp: 678/454Kb lim: 4096 exec/s: 33573 rss: 31Mb L: 42/4059 MS: 1 EraseBytes-
#101162	REDUCE cov: 390 ft: 3292 corp: 678/454Kb lim: 4096 exec/s: 33720 rss: 31Mb L: 7/4059 MS: 2 ChangeBit-EraseBytes-
#101738	REDUCE cov: 390 ft: 3294 corp: 679/458Kb lim: 4096 exec/s: 33912 rss: 31Mb L: 4023/4059 MS: 1 CopyPart-
#103049	REDUCE cov: 390 ft: 3294 corp: 679/458Kb lim: 4096 exec/s: 34349 rss: 31Mb L: 3126/4059 MS: 1 EraseBytes-
#106347	REDUCE cov: 390 ft: 3294 corp: 679/458Kb lim: 4096 exec/s: 35449 rss: 31Mb L: 40/4059 MS: 3 CopyPart-InsertRepeatedBytes-EraseBytes-
#108468	REDUCE cov: 390 ft: 3294 corp: 679/458Kb lim: 4096 exec/s: 36156 rss: 31Mb L: 84/4059 MS: 1 EraseBytes-
#108520	REDUCE cov: 390 ft: 3294 corp: 679/458Kb lim: 4096 exec/s: 36173 rss: 31Mb L: 100/4059 MS: 2 ShuffleBytes-EraseBytes-
#108631	REDUCE cov: 390 ft: 3294 corp: 679/458Kb lim: 4096 exec/s: 36210 rss: 31Mb L: 33/4059 MS: 1 EraseBytes-
#112422	REDUCE cov: 390 ft: 3294 corp: 679/458Kb lim: 4096 exec/s: 37474 rss: 31Mb L: 77/4059 MS: 1 EraseBytes-
#112885	REDUCE cov: 390 ft: 3294 corp: 679/458Kb lim: 4096 exec/s: 37628 rss: 31Mb L: 79/4059 MS: 3 ShuffleBytes-InsertByte-EraseBytes-
#113081	REDUCE cov: 390 ft: 3294 corp: 679/458Kb lim: 4096 exec/s: 37693 rss: 31Mb L: 511/4059 MS: 1 EraseBytes-
#113550	REDUCE cov: 390 ft: 3294 corp: 679/458Kb lim: 4096 exec/s: 37850 rss: 31Mb L: 189/4059 MS: 4 ChangeASCIIInt-InsertRepeatedBytes-ChangeBit-EraseBytes-
#113742	REDUCE cov: 390 ft: 3294 corp: 679/458Kb lim: 4096 exec/s: 37914 rss: 31Mb L: 460/4059 MS: 2 ShuffleBytes-EraseBytes-
#114070	REDUCE cov: 390 ft: 3294 corp: 679/458Kb lim: 4096 exec/s: 38023 rss: 31Mb L: 25/4059 MS: 3 ChangeBinInt-ChangeBit-EraseBytes-
#114117	REDUCE cov: 390 ft: 3294 corp: 679/458Kb lim: 4096 exec/s: 38039 rss: 31Mb L: 768/4059 MS: 2 ShuffleBytes-EraseBytes-
#114673	REDUCE cov: 390 ft: 3294 corp: 679/458Kb lim: 4096 exec/s: 38224 rss: 31Mb L: 3033/4059 MS: 1 EraseBytes-
#116765	REDUCE cov: 390 ft: 3294 corp: 679/458Kb lim: 4096 exec/s: 38921 rss: 31Mb L: 102/4059 MS: 2 ShuffleBytes-EraseBytes-
